Detail,Location,Function,Type
 Baby Oil,Body,Oil,Body Oil
 CC Cream,Face,Cream,Face Cream
Damaged Skin Treatment,Face,Medicine,Face Medicine
 Baby Shampoo,Hair,Cleanser,Hair Cleanser
 Styling Mousse/foam,Hair,Style,Hair Style
 BB Cream,Face,Cream,Face Cream
 Baby Lotion,Body,Cream,Body Cream
 Nipple Cream (for Moms),Body,Cream,Body Cream
 Cuticle Treatment,Nail,Medicine,Nail Medicine
 Mouthwash,Oral,Cleanser,Oral Cleanser
 After Sun Product,Body,Medicine,Body Medicine
 Pore Strips,Face,Cleanser,Face Cleanser
 Blush,Face,Makeup,Face Makeup
 Nail Polish,Nail,Polish,Nail Polish
 Baby Toothpaste,Oral,Cleanser,Oral Cleanser
 Hand Sanitizer,Hand,Cleanser,Hand Cleanser
 Damaged Skin Treatment,Face,Medicine,Face Medicine
 Depilatory (men's),Body,Hair Remover,Body Hair Remover
 Facial Moisturizer,Face,Cream,Face Cream
 Antiperspirant/deodorant,Body,Deodorant,Body Deodorant
 Hair Removal Waxes,Body,Hair Remover,Body Hair Remover
