ingredient,level,notes,
Phytantriol,2,,
PPG 12 PEG 65 lanolin oil,2,,
Sandalwood seed oil,2,,
Sesame oil,2,mark lees,
Simmondsia Chinensis (Jojoba) Seed Oil,2,1.) not to be used neat on the skin but seems ok in small amounts within a formulation; 2.) is not problematic for all acneic skins (our earth science fragrance free shampoo & youngblood makeup contains this – only 1 client has reported breaking out from the shampoo but no other incidences have been reported),"earthscience fragrance free shampoo, youngblood pressed mineral foundation"
Sorbitan isostearate,2,,
Sorbitan laurate,2,*results depend on source of material,
Steareth-2,2,,
Steareth-20,2,,
Stearic acid,2,*results depend on source of material,
Stearyl alcohol,2,,
Triethanolamine,2,,
Vitamin a palmitate,2,*results depend on source of material,
Archidic acid,1,,
Babassu oil,1,,
Butylene Glycol,1,,
Candelilla Wax,1,,
Caprylic Acid,1,,
Carbomer 940 or Carbomer,1,,
Carboxypropylcellulose,1,,
Carnuba Wax,1,,
Castor oil,1,,
Cetyl ester NF,1,,
Chaulmoogra oil,1,,
D&C red no. 36 in propylene glycol,1,,
D&C red no. 7,1,,
Dimethicone,1,"AVOID if your skin is extremely acne-prone; most acne-prone skins can tolerate this ingredient most commonly found in physical block SPF's and makeup primers, but those very sensitive will break out. use la bella donna SPF powder, layered over a moisturizer, instead.","all our sunscreens, except the la bella donna SPF powder brush"
Glycerol monostearate,1,,
Glyceryl stearate NSE,1,,
Glyceryl tricapylo/caprate,1,,
Hectorite,1,,
Hydrogenated castor oil,1,,
Hydrogenated polyisobutane,1,,
Hydroxypropyl cellulose,1,,
Lanolin oil,1,,
Lanolin wax,1,,
Lithium stearate,1,,
Magnesium stearate,1,,
Oleth-20,1,,
PEG 20 stearate,1,,
PEG 8 castor oil,1,,
Polyethylene glycol,1,,
Polyethylene glycol 300,1,,
Shark liver Simethicone,1,,
Sorbitan sesquinoleate,1,*results depend on source of material,
Squalane,1,1.) not to be confused with squalene (which is in our tested-to-be-safe hydrating cream); 2.) fulton does not have a rating for squalene but rates squalane a 1 (on the scale of 0-5); 3.) squalene is probably fine in small amounts within a formulation but potentially problematic used neat on the skin or in high amounts,
Talc,1,,
Zinc oxide,1,,
Acetone,0,,
Allantoin,0,,
Amoniomethylpropinate,0,,
Beeswax,0,,
Behenic Acid,0,*listed in 2 places in 1989 study once as 2 and once as a 0,
Behenyl Erucate,0,,
Behenyl Triglyceride,0,,
Bentonite,0,,
Black Walnut Extract,0,,
Caproic Acid,0,,
Carboxymethylcellulose,0,,
Carmine,0,,
Ceresin Wax,0,,
Cetyl palmitate,0,,
Chamomile extract,0,,
Cholesterol,0,,
Choleth 24,0,,
Chondroitin Sulfate,0,,
Chromium Hydroxide,0,,
Cyclomethicone,0,,
D&C red no. 36 in PEG 400,0,,
Diethylene glycol monoethyl ether,0,,
Diisopropyl adipate,0,,
Diisopropyl dimerate,0,,
Emulsifying wax NF,0,,
Ethyl ether,0,,
Ethylene glycol monoether (EGME),0,,
Ethylene glycol monostearate,0,,
Glucose glutamate,0,,
Glycereth-26,0,,
Glycerine,0,,
Hydantoin,0,,
Hydrolyzed animal protein,0,,
Iron oxides,0,,
Isopropyl alcohol,0,,
Kaolin,0,*diluted in mineral oil or 10% alcohol base,
Magnesium aluminum silicate,0,,
Meleated soybean oil,0,,
Methyl paraben,0,,
Mineral oil*,0,"dr. fulton says is rated a safe 0, but sS prefers to use healthier, non-petroleum derived oils",
Octyl dimethyl PABA,0,,
Octyl methoxycinnamate,0,,
Octyl salicylate,0,,
Octyldodecyl stearate,0,,
Octyldodecyl stearoyl stearate,0,,
Oxybenzone,0,,
Panthenol,0,,
Papain,0,,
PEG 10 soya sterol,0,,
PEG 100 stearate,0,,
PEG 120 methyl glucose dioleate,0,,
PEG 17 lanolin,0,,
PEG 40 castor oil,0,,
PEG 5 soya sterol,0,,
PEG 75 lanolin,0,,
PEG 78 gylceryl monococoate,0,,
Pentaerythrital tetra capra/caprylate,0,,
PG 40 sorbitan laurate,0,,
PG dicaprylate/caprate,0,,
PG laurate,0,,
PG monostearate,0,,
Phenoxyethyl paraben,0,,
Polypentaerythrital tetralaurate,0,,
Polysorbate 20,0,,
Polysorbate 80,0,,
PPG 30 acetyl ester,0,,
PPG 30 cetyl ester,0,,
PPG 50 cetyl ester,0,,
Precipitated sulfur,0,*diluted in mineral oil or 10% alcohol base,
Propyl paraben,0,,
Propylene glycol,0,,
PVP,0,,
Safflower Oil,0,1.) in house sS testing is looking safe!; 2.) mark lees says it's comedogenic although 3.) fulton says is rated an acne-safe 0.,
SD alcohol 40,0,,
Sodium hyaluronate,0,,
Sodium PCA,0,,
Sorbitan stearate,0,,
Sorbitol,0,,
Soya sterol,0,,
Steareth-100,0,,
Sterol esters,0,,
Sucrose distearate,0,,
Sucrose Stearate,0,,
Sunflower Oil,0,1.) mark lees says it's comedogenic although fulton says is rated an acne-safe 0; 2.) in house sS testing since 9/2014 is looking safe!,
Titanium dioxide,0,*diluted in mineral oil or 10% alcohol base,
Tocopherol acetate*,0,"AKA vitamin e. most all skincare products (including several sS formulations) contain this. ***comedogenicity results depend on source of material (commonly derived from cloggy soybean oil) ***ok in small amounts (as a preservative) but problematic when used in larger amounts, high up on an ingredient list or neat on the skin.",
Triacetin,0,,
Tridectyl neopentanoate,0,,
Ultramarine violet,0,*diluted in mineral oil or 10% alcohol base,
Zinc stearate,0,,
Argania Spinosa Kernel Oil,,"aka argan oil, discovered comeodgenic in many skin & hair products",
Grapeseed oil,,"dr. mark lees (another acne researcher) says this is cloggy, though it seems ok in small amounts within a formulation (our green tea cleanser contains this and no problems have been reported)",green tea cleanser
